"uniprotkb_canonical_ac","gene_id","gene_name","gene_names_alternative","uniprotkb_protein_recommended_name","glycoenzyme_gene_id","gene_group"
"P20273-1","933","CD22","SIGLEC2","B-cell receptor CD22","HLIS_M03","Lecitn/I-type/Siglec"
"P20138-1","945","CD33","SIGLEC3","Myeloid cell surface antigen CD33","HLIS_M04","Lectin/I-type/CD33-Related"
"P20916-1","4099","MAG","GMA","Myelin-associated glycoprotein","HLIS_M05","Lecitn/I-type/Siglec"
"O15389-1","8778","SIGLEC5","CD33L2;OBBP2","Sialic acid-binding Ig-like lectin 5","HLIS_M06","Lectin/I-type/CD33-Related"
"Q9Y336-1","27180","SIGLEC9","","Sialic acid-binding Ig-like lectin 9","HLIS_M07","Lectin/I-type/CD33-Related"
"O43699-1","946","SIGLEC6","CD33L;CD33L1;OBBP1","Sialic acid-binding Ig-like lectin 6","HLIS_M08","Lectin/I-type/CD33-Related"
"Q96RL6-1","114132","SIGLEC11","","Sialic acid-binding Ig-like lectin 11","HLIS_M10","Lectin/I-type/CD33-Related"
"Q9NYZ4-1","27181","SIGLEC8","SAF2","Sialic acid-binding Ig-like lectin 8","HLIS_M11","Lectin/I-type/CD33-Related"
"Q96PQ1-1","89858","SIGLEC12","SIGLECL1;SLG","Sialic acid-binding Ig-like lectin 12","HLIS_M12","Lectin/I-type/CD33-Related"
"Q9Y286-1","27036","SIGLEC7","AIRM1","Sialic acid-binding Ig-like lectin 7","HLIS_M13","Lectin/I-type/CD33-Related"
"Q6ZMC9-1","284266","SIGLEC15","CD33L3","Sialic acid-binding Ig-like lectin 15","HLIS_M14","Lectin/I-type/CD33-Related"
"P27824-1","821","CANX","","Calnexin","HLCNX_M01","Lectin/Calnexin-like"
"O14967-1","1047","CLGN","","Calmegin","HLCNX_M02","Lectin/Calnexin-like"
"P27797-1","811","CALR","CRTC","Calreticulin","HLCRT_M01","Lectin/Calnexin-like"
"Q96L12-1","125972","CALR3","CRT2","Calreticulin-3","HLCRT_M03","Lectin/Calnexin-like"
"P09382-1","3956","LGALS1","","Galectin-1","HLSG_M01","Lectin/S-Type/Galectin"
"P05162-1","3957","LGALS2","","Galectin-2","HLSG_M02","Lectin/S-Type/Galectin"
"P17931-1","3958","LGALS3","MAC2","Galectin-3","HLSG_M03","Lectin/S-Type/Galectin"
"O00182-1","3965","LGALS9","","Galectin-9","HLSG_M04","Lectin/S-Type/Galectin"
"Q96DT0-1","85329","LGALS12","GRIP1","Galectin-12","HLSG_M05","Lectin/S-Type/Galectin"
"P56470-1","3960","LGALS4","","Galectin-4","HLSG_M06","Lectin/S-Type/Galectin"
"P47929-1","3963","LGALS7","PIG1;LGALS7B","Galectin-7","HLSG_M08","Lectin/S-Type/Galectin"
"O00214-1","3964","LGALS8","","Galectin-8","HLSG_M09","Lectin/S-Type/Galectin"
"A4D1Z8-1","","GRIFIN","","Grifin","HLSG_M10","Lectin/S-Type/Galectin"
"Q3ZCW2-1","29094","LGALSL","GRP","Galectin-related protein","HLSG_M11","Lectin/S-Type/Galectin"
"Q05315-1","1178","CLC","LGALS10;LGALS10A","Galectin-10","HLSG_M12","Lectin/S-Type/Galectin"
"Q9UHV8-1","29124","LGALS13","PLAC8","Galactoside-binding soluble lectin 13","HLSG_M13","Lectin/S-Type/Galectin"
"A8MUM7-1","148003","LGALS16","","Galectin-16","HLSG_M14","Lectin/S-Type/Galectin"
"Q8TCE9-1","56891","LGALS14","PPL13","Placental protein 13-like","HLSG_M15","Lectin/S-Type/Galectin"
"Q08380-1","3959","LGALS3BP","M2BP","Galectin-3-binding protein","HLSG_M16","Lectin/S-Type/Galectin"
"P47929-1","653499","LGALS7","PIG1;LGALS7B","Galectin-7","HLSG_M17","Lectin/S-Type/Galectin"
"Q3B8N2-1","284194","LGALS9B","","Galectin-9B","HLSG_M18","Lectin/S-Type/Galectin"
"Q6DKI2-1","654346","LGALS9C","","Galectin-9C","HLSG_M19","Lectin/S-Type/Galectin"
"Q3ZCW2-1","29094","LGALSL","GRP","Galectin-related protein","HLSG_M20","Lectin/S-Type/Galectin"
"A6NE02-1","388419","BTBD17","","BTB/POZ domain-containing protein 17","HLSG_M21","Lectin/S-Type/Galectin"
"P20645-1","4074","M6PR","MPR46;MPRD","Cation-dependent mannose-6-phosphate receptor","HLPR_M01","Lectin/P-Type"
"P11717-1","3482","IGF2R","MPRI","Cation-independent mannose-6-phosphate receptor","HLPR_M02","Lectin/P-Type"
"Q96DZ1-1","27248","ERLEC1","C2orf30;XTP3TPB","Endoplasmic reticulum lectin 1","HLPR_M03","Lectin/P-Type"
"Q9UJJ9-1","84572","GNPTG","C16orf27;GNPTAG","N-acetylglucosamine-1-phosphotransferase subunit gamma","HLPR_M04","Lectin/P-Type"
"P14314-1","5589","PRKCSH","G19P1","Glucosidase 2 subunit beta","HLPR_M05","Lectin/P-Type"
"Q13438-1","10956","OS9","","Protein OS-9","HLPR_M06","Lectin/P-Type"
"Q9HAT1-1","79748","LMAN1L","ERGL","Protein ERGIC-53-like","HLM_M01","Lectin/L-Type"
"P49257-1","3998","LMAN1","ERGIC53;F5F8D","Protein ERGIC-53","HLM_M02","Lectin/L-Type"
"Q12907-1","10960","LMAN2","C5orf8","Vesicular integral-membrane protein VIP36","HLM_M03","Lectin/L-Type"
"Q9H0V9-1","81562","LMAN2L","VIPL","VIP36-like protein","HLM_M04","Lectin/L-Type"
"P33908-1","4121","MAN1A1","","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA","HLMT_M01","Lectin/M-Type"
"O60476-1","10905","MAN1A2","MAN1B","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB","HLMT_M02","Lectin/M-Type"
"Q92611-1","9695","EDEM1","EDEM;KIAA0212","ER degradation-enhancing alpha-mannosidase-like protein 1","HLMT_M03","Lectin/M-Type"
"Q9BV94-1","55741","EDEM2","C20orf31;C20orf49","ER degradation-enhancing alpha-mannosidase-like protein 2","HLMT_M04","Lectin/M-Type"
"Q9NR34-1","57134","MAN1C1","MAN1A3;MAN1C","Mannosyl-oligosaccharide 1,2-alpha-mannosidase IC","HLMT_M05","Lectin/M-Type"
"Q9BZQ6-1","80267","EDEM3","C1orf22","ER degradation-enhancing alpha-mannosidase-like protein 3","HLMT_M06","Lectin/M-Type"
"Q9UK22-1","26232","FBXO2","FBX2","F-box only protein 2","HLFBX_M01","Lectin/F-box"
"Q9NRD1-1","26270","FBXO6","FBG2;FBS2;FBX6","F-box only protein 6","HLFBX_M02","Lectin/F-box"
"Q96EF6-1","115290","FBXO17","FBG4;FBX17;FBX26;FBXO26","F-box only protein 17","HLFBX_M03","Lectin/F-box"
"Q8NI29-1","126433","FBXO27","FBG5;FBX27","F-box only protein 27","HLFBX_M04","Lectin/F-box"
"Q9H4M3-1","93611","FBXO44","FBG3;FBX30;FBX44;FBX6A;FBXO6A","F-box only protein 44","HLFBX_M05","Lectin/F-box"
"O00602-1","2219","FCN1","FCNM","Ficolin-1","HLFC_M01","Lectin/Ficollins"
"Q15485-1","2220","FCN2","FCNL","Ficolin-2","HLFC_M02","Lectin/Ficollins"
"O75636-1","8547","FCN3","FCNH;HAKA1","Ficolin-3","HLFC_M03","Lectin/Ficollins"
"P09429-1","3146","HMGB1","HMG1","High mobility group protein B1","HHMG_M01","Lectin/HMG-box"
"Q9BZP6-1","27159","CHIA","","Acidic mammalian chitinase","HLCL_M01","Lectin/Misc. Glycan-binding/Chitinase-like"
"P36222-1","1116","CHI3L1","","Chitinase-3-like protein 1","HLCL_M04","Lectin/Misc. Glycan-binding/Chitinase-like"
"Q13231-1","1118","CHIT1","","Chitotriosidase-1","HLCL_M05","Lectin/Misc. Glycan-binding/Chitinase-like"
"Q01459-1","1486","CTBS","CTB","Di-N-acetylchitobiase","HLCL_M07","Lectin/Misc. Glycan-binding/Chitinase-like"
"Q12889-1","5016","OVGP1","MUC9;OGP","Oviduct-specific glycoprotein","HLCL_M10","Lectin/Misc. Glycan-binding/Chitinase-like"
"Q15782-4","1117","CHI3L2","","Chitinase-3-like protein 2","HLCL_M11","Lectin/Misc. Glycan-binding/Chitinase-like"
"Q9BWS9-1","66005","CHID1","","Chitinase domain-containing protein 1","HLCL_M01","Lectin/Misc. Glycan-binding/Chitinase-like"
"P15813-1","912","CD1D","","Antigen-presenting glycoprotein CD1d","HLMHC_M01","Lectin/Misc. Glycan-binding/MHC"
"P09525-1","307","ANXA4","ANX4","Annexin A4","HLAN_M01","Lectin/Misc. Glycan-binding/Annexin"
"P08758-1","308","ANXA5","ANX5;ENX2;PP4","Annexin A5","HLAN_M02","Lectin/Misc. Glycan-binding/Annexin"
"P20073-1","310","ANXA7","ANX7;SNX","Annexin A7","HLAN_M03","Lectin/Misc. Glycan-binding/Annexin"
"O76027-1","8416","ANXA9","ANX31","Annexin A9","HLAN_M04","Lectin/Misc. Glycan-binding/Annexin"
"P04083-1","301","ANXA1","ANX1;LPC1","Annexin A1","HLAN_M05","Lectin/Misc. Glycan-binding/Annexin"
"O00468-1","375790","AGRN","AGRIN","Agrin","HLAG_M01","Lectin/Misc. Glycan-binding/Agrin"
"O75330-1","3161","HMMR","IHABP;RHAMM","Hyaluronan mediated motility receptor","HLGB_M01","Lectin/Misc. Glycan-binding/GAG-binding"
"P21741-1","4192","MDK","MK1;NEGF2","Midkine","HLGB_M02","Lectin/Misc. Glycan-binding/GAG-binding"
"O00560-1","6386","SDCBP","MDA9;SYCL","Syntenin-1","HLGB_M03","Lectin/Misc. Glycan-binding/GAG-binding"
"Q5JVS0-1","22927","HABP4","","Intracellular hyaluronan-binding protein 4","HLGB_M04","Lectin/Misc. Glycan-binding/GAG-binding"
"Q14956-1","10457","GPNMB","NMB;HGFIN","Transmembrane glycoprotein NMB","HLGB_M05","Lectin/Misc. Glycan-binding/GAG-binding"
"Q14520-1","3026","HABP2","HGFAL;PHBP","Hyaluronan-binding protein 2","HLGB_M06","Lectin/Misc. Glycan-binding/GAG-binding"
"Q9H190-1","27111","SDCBP2","SITAC18","Syntenin-2","HLGB_M07","Lectin/Misc. Glycan-binding/GAG-binding"
"P05109-1","6279","S100A8","MRP8;CAGA;CFAG","Protein S100-A8","HLCAB_M01","Lectin/Misc. Glycan-binding/Calcuim-binding"
"P06702-1","6280","S100A9","CAGB;CFAG;MRP14","Protein S100-A9","HLCAB_M02","Lectin/Misc. Glycan-binding/Calcuim-binding"
"P80511-1","6283","S100A12","","Protein S100-A12","HLCAB_M03","Lectin/Misc. Glycan-binding/Calcuim-binding"
"P48740-1","5648","MASP1","CRARF;CRARF1;PRSS5","Mannan-binding lectin serine protease 1","HLAP_M01","Lectin/Lecin-Associated Proteins/MASP"
"O00187-1","10747","MASP2","","Mannan-binding lectin serine protease 2","HLAP_M02","Lectin/Lecin-Associated Proteins/MASP"
"P30101-1","2923","PDIA3","ERP57;ERP60;GRP58","Protein disulfide-isomerase A3","HLAP_M03","Lectin/Lecin-Associated Proteins/PDI"
"Q8WWA0-1","55600","ITLN1","INTL;ITLN;LFR","Intelectin-1","HLIT_M01","Lectin/Intelectin"
"Q8WWU7-1","142683","ITLN2","","Intelectin-2","HLIT_M02","Lectin/Intelectin"
"Q8NFW8-1","55907","CMAS","","N-acylneuraminate cytidylyltransferase","HNSN_M01","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9Y223-1","10020","GNE","GLCNE;IBM2","Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase","HNSN_M03","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O14772-1","8790","FPGT","GFPP","Fucose-1-phosphate guanylyltransferase","HNSN_M04","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P51570-1","2584","GALK1","GALK","Galactokinase","HNSN_M05","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P07902-1","2592","GALT","","Galactose-1-phosphate uridylyltransferase","HNSN_M06","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q13630-1","7264","GFUS","TSTA3;SDR4E1","GDP-L-fucose synthase","HNSN_M07","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q96IJ6-1","29926","GMPPA","","Mannose-1-phosphate guanyltransferase alpha","HNSN_M08","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P51606-1","5973","RENBP","","N-acylglucosamine 2-epimerase","HNSN_M09","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9UJ70-1","55577","NAGK","","N-acetyl-D-glucosamine kinase","HNSN_M10","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P46926-1","10007","GNPDA1","GNPI;HLN;KIAA0060","Glucosamine-6-phosphate isomerase 1","HNSN_M11","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q96EK6-1","64841","GNPNAT1","GNA1","Glucosamine 6-phosphate N-acetyltransferase","HNSN_M12","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P06744-1","2821","GPI","","Glucose-6-phosphate isomerase","HNSN_M13","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O94808-1","","GFPT2","","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2","HNSN_M14","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q06210-1","2673","GFPT1","GFAT;GFPT","Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1","HNSN_M15","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P19367-1","3098","HK1","HK1-ta;HK1-tb","Hexokinase-1","HNSN_M16","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P50053-1","3795","KHK","","Ketohexokinase","HNSN_M17","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9NR45-1","54187","NANS","SAS","Sialic acid synthase","HNSN_M18","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O43252-1","9061","PAPSS1","ATPSK1;PAPSS","Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 1","HNSN_M19","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O95340-1","9060","PAPSS2","ATPSK2","Bifunctional 3'-phosphoadenosine 5'-phosphosulfate synthase 2","HNSN_M20","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q96G03-1","55276","PGM2","","Phosphopentomutase","HNSN_M21","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O15305-1","5373","PMM2","","Phosphomannomutase 2","HNSN_M22","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q92871-1","5372","PMM1","PMMH22","Phosphomannomutase 1","HNSN_M23","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q16222-1","6675","UAP1","SPAG2","UDP-N-acetylhexosamine pyrophosphorylase","HNSN_M24","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q14376-1","2582","GALE","","UDP-glucose 4-epimerase","HNSN_M25","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O60701-1","7358","UGDH","","UDP-glucose 6-dehydrogenase","HNSN_M26","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q8NBZ7-1","80146","UXS1","","UDP-glucuronic acid decarboxylase 1","HNSN_M27","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q16851-1","7360","UGP2","UGP1","UTP--glucose-1-phosphate uridylyltransferase","HNSN_M28","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q01415-1","2585","GALK2","GK2","N-acetylgalactosamine kinase","HNSN_M29","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O60547-1","2762","GMDS","","GDP-mannose 4,6 dehydratase","HNSN_M30","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P63244-1","10399","RACK1","GNB2L1","Small ribosomal subunit protein RACK1","HNSN_M31","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P62873-1","2782","GNB1","","Guanine nucleotide-binding protein G(I)/G(S)/G(T) subunit beta-1","HNSN_M32","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P52790-1","3101","HK3","","Hexokinase-3","HNSN_M33","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q5XPI4-1","63891","RNF123","KPC1","E3 ubiquitin-protein ligase RNF123","HNSN_M34","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"O95394-1","5238","PGM3","AGM1","Phosphoacetylglucosamine mutase","HNSN_M35","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P52789-1","3099","HK2","","Hexokinase-2","HNSN_M36","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P35575-1","2538","G6PC1","G6PC;G6PT","Glucose-6-phosphatase catalytic subunit 1","HNSN_M37","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P35557-1","2645","GCK","","Hexokinase-4","HNSN_M38","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q8TDQ7-1","132789","GNPDA2","GNP2","Glucosamine-6-phosphate isomerase 2","HNSN_M39","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P36871-1","5236","PGM1","","Phosphoglucomutase-1","HNSN_M41","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9NPB1-1","56953","NT5M","DNT2","5'(3')-deoxyribonucleotidase, mitochondrial","HNSN_M42","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P00387-1","1727","CYB5R3","DIA1","NADH-cytochrome b5 reductase 3","HNSN_M43","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P34949-1","4351","MPI","PMI1","Mannose-6-phosphate isomerase","HNSN_M44","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9Y5P6-1","29925","GMPPB","","Mannose-1-phosphate guanyltransferase beta","HNSN_M45","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q8N0W3-1","197258","FCSK","FUK","L-fucose kinase","HNSN_M46","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"Q9UHQ9-1","51706","CYB5R1","NQO3A2","NADH-cytochrome b5 reductase 1","HNSN_M47","Carbohydrate Synthesis and Metabolism/Nucleotide Synthesis"
"P78382-1","10559","SLC35A1","","CMP-sialic acid transporter","HTR_M01","Carbohydrate Synthesis and Metabolism/Transporter"
"P78381-1","7355","SLC35A2","UGALT;UGT;UGTL","UDP-galactose translocator","HTR_M02","Carbohydrate Synthesis and Metabolism/Transporter"
"P78383-1","10237","SLC35B1","UGTREL1","Solute carrier family 35 member B1","HTR_M03","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9Y2D2-1","23443","SLC35A3","","UDP-N-acetylglucosamine transporter","HTR_M04","Carbohydrate Synthesis and Metabolism/Transporter"
"P50443-1","1836","SLC26A2","DTD;DTDST","Sulfate transporter","HTR_M05","Carbohydrate Synthesis and Metabolism/Transporter"
"O43826-1","2542","SLC37A4","G6PT;G6PT1","Glucose-6-phosphate exchanger SLC37A4","HTR_M06","Carbohydrate Synthesis and Metabolism/Transporter"
"P11166-1","6513","SLC2A1","GLUT1","Solute carrier family 2, facilitated glucose transporter member 1","HTR_M07","Carbohydrate Synthesis and Metabolism/Transporter"
"P22732-1","6518","SLC2A5","GLUT5","Solute carrier family 2, facilitated glucose transporter member 5","HTR_M08","Carbohydrate Synthesis and Metabolism/Transporter"
"Q969S0-1","84912","SLC35B4","YEA4","Nucleotide sugar transporter SLC35B4","HTR_M09","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NY64-1","29988","SLC2A8","GLUT8;GLUTX1","Solute carrier family 2, facilitated glucose transporter member 8","HTR_M10","Carbohydrate Synthesis and Metabolism/Transporter"
"P11169-1","6515","SLC2A3","GLUT3","Solute carrier family 2, facilitated glucose transporter member 3","HTR_M11","Carbohydrate Synthesis and Metabolism/Transporter"
"P14672-1","6517","SLC2A4","GLUT4","Solute carrier family 2, facilitated glucose transporter member 4","HTR_M12","Carbohydrate Synthesis and Metabolism/Transporter"
"P13866-1","6523","SLC5A1","NAGT;SGLT1","Sodium/glucose cotransporter 1","HTR_M13","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NZD2-1","51228","GLTP","","Glycolipid transfer protein","HTR_M14","Carbohydrate Synthesis and Metabolism/Transporter"
"P11168-1","6514","SLC2A2","GLUT2","Solute carrier family 2, facilitated glucose transporter member 2","HTR_M15","Carbohydrate Synthesis and Metabolism/Transporter"
"O95528-1","81031","SLC2A10","GLUT10","Solute carrier family 2, facilitated glucose transporter member 10","HTR_M16","Carbohydrate Synthesis and Metabolism/Transporter"
"Q96A29-1","55343","SLC35C1","FUCT1","GDP-fucose transporter 1","HTR_M18","Carbohydrate Synthesis and Metabolism/Transporter"
"Q8TD20-1","154091","SLC2A12","GLUT12","Solute carrier family 2, facilitated glucose transporter member 12","HTR_M19","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NRA2-1","26503","SLC17A5","","Sialin","HTR_M20","Carbohydrate Synthesis and Metabolism/Transporter"
"Q8TB61-1","347734","SLC35B2","PAPST1","Adenosine 3'-phospho 5'-phosphosulfate transporter 1","HTR_M21","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NTN3-1","23169","SLC35D1","KIAA0260;UGTREL7","Nucleotide sugar transporter SLC35D1","HTR_M22","Carbohydrate Synthesis and Metabolism/Transporter"
"P11279-1","3916","LAMP1","","Lysosome-associated membrane glycoprotein 1","HTR_M23","Carbohydrate Synthesis and Metabolism/Transporter"
"P13473-1","3920","LAMP2","","Lysosome-associated membrane glycoprotein 2","HTR_M24","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9H1N7-1","51000","SLC35B3","C6orf196;PAPST2","Adenosine 3'-phospho 5'-phosphosulfate transporter 2","HTR_M25","Carbohydrate Synthesis and Metabolism/Transporter"
"Q76EJ3-1","11046","SLC35D2","HFRC;UGTREL8","Nucleotide sugar transporter SLC35D2","HTR_M26","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NQQ7-1","51006","SLC35C2","C20orf5;OVCOV1","Solute carrier family 35 member C2","HTR_M27","Carbohydrate Synthesis and Metabolism/Transporter"
"Q5M8T2-1","340146","SLC35D3","FRCL1","Solute carrier family 35 member D3","HTR_M28","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9H2B4-1","10861","SLC26A1","SAT1","Sulfate anion transporter 1","HTR_M29","Carbohydrate Synthesis and Metabolism/Transporter"
"Q86WA9-1","","SLC26A11","","Sodium-independent sulfate anion transporter","HTR_M31","Carbohydrate Synthesis and Metabolism/Transporter"
"P40879-1","1811","SLC26A3","DRA","Chloride anion exchanger","HTR_M32","Carbohydrate Synthesis and Metabolism/Transporter"
"O43511-1","5172","SLC26A4","PDS","Pendrin","HTR_M33","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9BXS9-1","65010","SLC26A6","","Solute carrier family 26 member 6","HTR_M34","Carbohydrate Synthesis and Metabolism/Transporter"
"Q8TE54-1","115111","SLC26A7","SUT2","Anion exchange transporter","HTR_M35","Carbohydrate Synthesis and Metabolism/Transporter"
"Q96RN1-1","116369","SLC26A8","TAT1","Testis anion transporter 1","HTR_M36","Carbohydrate Synthesis and Metabolism/Transporter"
"Q7LBE3-1","115019","SLC26A9","","Solute carrier family 26 member 9","HTR_M37","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9BYW1-1","66035","SLC2A11","GLUT11","Solute carrier family 2, facilitated glucose transporter member 11","HTR_M38","Carbohydrate Synthesis and Metabolism/Transporter"
"Q96QE2-1","114134","SLC2A13","","Proton myo-inositol cotransporter","HTR_M39","Carbohydrate Synthesis and Metabolism/Transporter"
"Q8TDB8-1","","SLC2A14","GLUT14","Solute carrier family 2, facilitated glucose transporter member 14","HTR_M40","Carbohydrate Synthesis and Metabolism/Transporter"
"P14672-1","6517","SLC2A4","GLUT4","Solute carrier family 2, facilitated glucose transporter member 4","HTR_M41","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9UGQ3-1","11182","SLC2A6","GLUT6","Solute carrier family 2, facilitated glucose transporter member 6","HTR_M42","Carbohydrate Synthesis and Metabolism/Transporter"
"Q6PXP3-1","155184","SLC2A7","GLUT7","Solute carrier family 2, facilitated glucose transporter member 7","HTR_M43","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NRM0-1","56606","SLC2A9","GLUT9","Solute carrier family 2, facilitated glucose transporter member 9","HTR_M44","Carbohydrate Synthesis and Metabolism/Transporter"
"Q96G79-1","113829","SLC35A4","","Probable UDP-sugar transporter protein SLC35A4","HTR_M45","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9BS91-1","55032","SLC35A5","","UDP-sugar transporter protein SLC35A5","HTR_M46","Carbohydrate Synthesis and Metabolism/Transporter"
"P31639-1","6524","SLC5A2","SGLT2","Sodium/glucose cotransporter 2","HTR_M47","Carbohydrate Synthesis and Metabolism/Transporter"
"Q9NY91-1","6527","SLC5A4","SAAT1;SGLT3","Probable glucose sensor protein SLC5A4","HTR_M48","Carbohydrate Synthesis and Metabolism/Transporter"
"P58743-1","375611","SLC26A5","PRES","Prestin","HTR_M49","Carbohydrate Synthesis and Metabolism/Transporter"
"O60931-1","1497","CTNS","","Cystinosin","HTR_M51","Carbohydrate Synthesis and Metabolism/Transporter"
"P10645-1","1113","CHGA","","Chromogranin-A","HCM_M01","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P11413-1","2539","G6PD","","Glucose-6-phosphate 1-dehydrogenase","HCM_M02","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P17858-1","5211","PFKL","","ATP-dependent 6-phosphofructokinase, liver type","HCM_M03","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q01813-1","5214","PFKP","PFKF","ATP-dependent 6-phosphofructokinase, platelet type","HCM_M07","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P08237-1","5213","PFKM","PFKX","ATP-dependent 6-phosphofructokinase, muscle type","HCM_M08","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"O95455-1","23483","TGDS","","dTDP-D-glucose 4,6-dehydratase","HCM_M11","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P05062-1","229","ALDOB","ALDB","Fructose-bisphosphate aldolase B","HCM_M12","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"O95479-1","9563","H6PD","GDH","GDH/6PGL endoplasmic bifunctional protein","HCM_M13","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q15124-1","5239","PGM5","PGMRP","Phosphoglucomutase-like protein 5","HCM_M14","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"P09972-1","230","ALDOC","ALDC","Fructose-bisphosphate aldolase C","HCM_M15","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q13630-1","7264","GFUS","TSTA3;SDR4E1","GDP-L-fucose synthase","HCM_M16","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q9BXD5-1","80896","NPL","C1orf13","N-acetylneuraminate lyase","HCM_M18","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"O00757-1","8789","FBP2","","Fructose-1,6-bisphosphatase isozyme 2","HCM_M19","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"O60825-1","5208","PFKFB2","","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2","HCM_M21","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
"Q16875-1","5209","PFKFB3","","6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 3","HCM_M22","Carbohydrate Synthesis and Metabolism/Metabolic Enzymes"
